Number of copper plates,Total copper thickness [mm],Transmitted photon rate ,Peak value ,Uncertainty,Thickness of single copper plate [mm]
0,0,12935.68,,,6.35
1,6.35,49195.06,914.85,,
2,12.7,37285.09,907.28,,
3,19.05,26479.48,896.26,,
0,0,62063.27,938.19,0.11,
4,25.4,19895.76,915.21,0.23,
5,31.75,13713.27,909.99,0.25,
6,38.1,9524.42,905.95,0.29,
7,44.45,6635.3,903.88,0.35,
8,50.8,4653.16,900.2,0.44,
9,57.15,3260.34,897.1,0.59,
10,63.5,1963.06,895.78,0.63,
11,69.85,1586.75,893.28,0.69,
1,6.35,46401.03,945.75,0.13,
2,12.7,36084.6,936.6,0.15,
3,19.05,22774.02,928.58,0.17,
,,,,,
,Plot residuals and R^2 to see where it deviates from exp,,,,
,Missing counts at higher energy,,,,
