Detector angle [degrees],Peak value channel ,u_peak value,Lower bound,Upper bound,Peak value keV,u_peak value keV,Lower bound keV,Upper bound keV
30,750.22,7.5,740,746,570.28,2.28,562.51,567.07
35,717.99,10.5,703,724,545.78,7.98,534.39,550.35
40,683.37,8,664,680,519.47,6.08,504.74,516.9
45,640.93,8,627,643,487.2,6.085,476.61,488.78
50,604.65,8,600,616,459.63,5.58,456.09,467.25
55,565.54,5,561,571,428.44,3.845,424.95,432.64
60,540.9,7.5,532,547,409.51,5.765,402.67,414.2
65,508.46,6.5,500,513,384.59,4.99,378.09,388.07
70,481.25,10,473,493,363.68,7.685,357.34,372.71
75,462.23,14,443,471,349.07,10.755,334.29,355.8
80,434.26,8.5,424,441,327.44,6.91,318.79,332.61
85,413.87,7,404,418,311.79,5.375,304.2,314.95
90,387.16,10.5,382,403,291.27,8.065,287.31,303.44
95,367.34,10,364,384,276.06,7.68,273.49,288.85
100,362.96,7.5,351,366,272.69,5.755,263.51,275.02
105,345.56,8,334,350,259.33,6.145,250.45,262.74
110,325.27,6.5,326,339,243.75,4.99,244.31,254.29
115,321.3,8,314,330,240.7,6.14,235.1,247.38
120,297.84,5.5,305,316,222.69,4.225,228.18,236.63
,,,,,,,,
Non-linear fit ,,,,,,,,
Channel number - energy in keV,,,,,,,,
,,,,,,,,
"72/74 lead characteristic energy, x-rays",,,,,,,,
Eyeball the uncertainty ,,,,,,,,
